Date, UserID, Scenario, Branch, Variable, Action, NewValue, OldValue, ChangeID, ScenarioID, BranchID, VariableID, NewValue, OldValue
2015/12/01 07:00:52,SYL,,,,Calculate results,0:00:01.498,"0.01 seconds per year (1980-2009)  LPScaleFactor: 1000  LargestScaledValueToUse: 100000  SmallestValueAllowed: Default=1.0E-007  ScaleMode: Default=0  BasisCrash: Default=0  Computer Name: CME-119-03  WEAP Version: 2015  AreaDir: C:\Users\Seungyub\Dropbox\PHD\2015-Fall\2015-Fall-Hydroinformatics\WEAP\Salt Lake City\  WorkDir: C:\Users\Seungyub\Dropbox\PHD\2015-Fall\2015-Fall-Hydroinformatics\WEAP\_WORK\  Solver=LP Solve 5.520, Time in Solver=0:00:00.148 (h:m:s), NumSolves=1752, numPresolves=0, NumRetries=0, NumCoverageConstraintsRemoved=0, NumCoverageConstraintsExtraSolves=0, NumScalingSolves=0, NumWedgesReduced=0, NumExtraLPConstraintsRemoved=0, NumFloodConstraintsRemoved=0, NumMHOConstraintsRemoved=0, numSaveAndReload=0, NumChangeEpsilons=0, NumGLPK=0, NumInfeasible=0, NumTimeouts=0",   14,0,0,0,0:00:01.498,"0.01 seconds per year (1980-2009)  LPScaleFactor: 1000  LargestScaledValueToUse: 100000  SmallestValueAllowed: Default=1.0E-007  ScaleMode: Default=0  BasisCrash: Default=0  Computer Name: CME-119-03  WEAP Version: 2015  AreaDir: C:\Users\Seungyub\Dropbox\PHD\2015-Fall\2015-Fall-Hydroinformatics\WEAP\Salt Lake City\  WorkDir: C:\Users\Seungyub\Dropbox\PHD\2015-Fall\2015-Fall-Hydroinformatics\WEAP\_WORK\  Solver=LP Solve 5.520, Time in Solver=0:00:00.148 (h:m:s), NumSolves=1752, numPresolves=0, NumRetries=0, NumCoverageConstraintsRemoved=0, NumCoverageConstraintsExtraSolves=0, NumScalingSolves=0, NumWedgesReduced=0, NumExtraLPConstraintsRemoved=0, NumFloodConstraintsRemoved=0, NumMHOConstraintsRemoved=0, numSaveAndReload=0, NumChangeEpsilons=0, NumGLPK=0, NumInfeasible=0, NumTimeouts=0"
2015/12/01 07:02:15,SYL,Current Accounts,Little Dell,,Create Reservoir,,,   5,1,38,4,,
2015/12/01 07:02:15,SYL,Current Accounts,Little Dell,,Change Active in Current Accounts?,Yes,,   6,1,38,0,Yes,
2015/12/01 07:02:15,SYL,Current Accounts,Below Little Dell,,Create River Reach,,,   5,1,39,16,,
2015/12/01 07:02:26,SYL,Current Accounts,Mountain Dell,,Create Reservoir,,,   5,1,40,4,,
2015/12/01 07:02:26,SYL,Current Accounts,Mountain Dell,,Change Active in Current Accounts?,Yes,,   6,1,40,0,Yes,
2015/12/01 07:02:26,SYL,Current Accounts,Below Mountain Dell,,Create River Reach,,,   5,1,41,16,,
2015/12/01 07:02:30,SYL,,,,Area saved,,,   4,0,0,0,,
2015/12/01 07:03:30,SYL,Current Accounts,Supply and Resources\River\Dell Creek\Reservoirs\Little Dell,Storage Capacity,New expression,24.7,,   1,1,139,909,24.7,
2015/12/01 07:03:33,SYL,Current Accounts,Supply and Resources\River\Dell Creek\Reservoirs\Little Dell,Initial Storage,New expression,15,,   1,1,139,910,15,
2015/12/01 07:03:40,SYL,Current Accounts,Supply and Resources\River\Dell Creek\Reservoirs\Little Dell,Volume Elevation Curve,New expression,"VolumeElevation( 0, 210 )",,   1,1,139,911,"@F048(' 0, 210 ')",
2015/12/01 07:03:44,SYL,Current Accounts,Supply and Resources\River\Dell Creek\Reservoirs\Little Dell,Volume Elevation Curve,New expression,"VolumeElevation( 0, 210, 15, 220 )","VolumeElevation( 0, 210 )",   1,1,139,911,"@F048(' 0, 210, 15, 220 ')","@F048(' 0, 210 ')"
2015/12/01 07:03:47,SYL,Current Accounts,Supply and Resources\River\Dell Creek\Reservoirs\Little Dell,Volume Elevation Curve,New expression,"VolumeElevation( 0, 210, 15, 220, 24.7, 225 )","VolumeElevation( 0, 210, 15, 220 )",   1,1,139,911,"@F048(' 0, 210, 15, 220, 24.7, 225 ')","@F048(' 0, 210, 15, 220 ')"
